wallet_address,base_rank,base_score,rank_without_primary_signal,rank_without_size_anomaly,rank_without_scope_concentration,rank_without_middling_accuracy,rank_without_sweep_penalty,max_rank_delta
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,1,0.8885,2,1,1,1,1,1
0x069acf9916370eef6c6a541f12cd96632ed44634,2,0.2993,1,4,2,2,2,2
0xaa0f9278293573f4f8ec1b7cdc19ba6fa480ab1c,3,0.2132,3,5,4,3,5,2
0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,4,0.1872,4,65,3,4,7,61
0xc1259ddd92f58aded52d029e37e3fbbebafaa4c1,5,0.1693,5,6,6,5,10,5
0xcf73add1c409656c18b3d44b2e2aed28d6cbc54f,6,0.128,6,7,14,6,19,13
0x710dc6879d28f9f078ad04fb493129790a9e33d3,7,0.1,7,2,54,7,24,47
0xebaa32ef12d502ab6ade6cdc7abe6d30902298a5,8,0.1,8,3,93,8,25,85
0x69b84bac876e7f993b585a571b71039a7583d47c,9,0.0869,9,8,51,9,31,42
0x5fc105bdeef10a6c2a8131b951ff45cba317717d,10,0.0859,10,9,47,10,32,37
0x6b592c31f9a267ffeea69b889ab4b212320ad12a,11,0.0858,11,15,12,11,33,22
0x9db778f46b7c9b458045764a67ff4afcae917e1f,12,0.0817,12,28,5,12,40,28
0xda475f640892d0014c086b7e4f25317f5778f40a,13,0.0738,13,91,7,19,4,78
0x4c784587f81cd53fd3c4e9bf9842dadfb4560fa5,14,0.0721,14,10,38,13,23,24
0x59d59ae47618f3b340482d175dfc8cf13b2ba273,15,0.0716,15,18,11,14,41,26
0xfd19367c558497716fcc5752b27b228e9d729e0d,16,0.0654,16,11,101,15,34,85
0xff0c984ab8f31600bc1faa15c7c8a14ab0e49193,17,0.0567,17,12,103,16,42,86
0xc709c24cda148fe2adcc98e91c63b3c360473365,18,0.0551,18,13,80,17,27,62
0xda9f7647c58deb560ca7d85e2b7ea55ef489d7f6,19,0.0526,19,14,87,18,45,68
0x8564848285e54c65f6cc2e3930b49362fbd84b2e,20,0.0488,20,21,8,23,48,28
