wallet_address,total_vol_usd,wash_vol_usd,total_n,wash_n,wash_vol_share,wash_n_share,clean_vol_usd,label
0x95074f700f93bdf6e62fc965e0832064c0877b04,2422324.8,102428.4,2000,92,0.0423,0.046,2319896.4,clean
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,2099904.32,16899.95,2000,14,0.008,0.007,2083004.37,clean
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,6259228.83,1314772.03,2000,207,0.2101,0.1035,4944456.8,partial_washer
0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,1297329.29,0.0,2000,0,0.0,0.0,1297329.29,clean
0xd218e474776403a330142299f7796e8ba32eb5c9,171618.3,0.0,2000,0,0.0,0.0,171618.3,clean
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,6956345.52,68486.61,2000,79,0.0098,0.0395,6887858.91,clean
0x7744bfd749a70020d16a1fcbac1d064761c9999e,2975877.23,1667064.35,2000,363,0.5602,0.1815,1308812.88,volume_farmer
0x63274ff0dd147d2b106d4d6b21817e59418be181,4282352.91,4154567.21,2000,1052,0.9702,0.526,127785.7,volume_farmer
0x1fad9860ab0d21c8668a13accf25d6eb3c11b5b2,6776458.0,6551710.07,2000,1888,0.9668,0.944,224747.93,volume_farmer
0x34026514e0bda25f0f9fbb053fe3070cdc8c9446,100262.89,2127.84,2000,6,0.0212,0.003,98135.05,clean
0x6ffb4354cbe6e0f9989e3b55564ec5fb8646a834,2573525.07,148243.6,2000,231,0.0576,0.1155,2425281.46,clean
0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,203195.81,0.0,2000,0,0.0,0.0,203195.81,clean
0x2785e7022dc20757108204b13c08cea8613b70ae,43985350.73,0.0,2000,0,0.0,0.0,43985350.73,clean
0xbacd00c9080a82ded56f504ee8810af732b0ab35,795578.28,225659.11,2000,94,0.2836,0.047,569919.18,partial_washer
0x7e30c3a56d89edac738d788dd218a9e64fb91e50,3152081.39,936358.71,2000,793,0.2971,0.3965,2215722.68,partial_washer
0xecb14ac6e9ca447ce2f2912e6217b43d7b655da3,660761.31,57984.36,2000,157,0.0878,0.0785,602776.95,clean
